Rank,Country,Region,Continent,Legalized Same-Sex Marriage,Year of Legalization,Marriage Points (+50),Worker Protections,Worker Points (+50),Protections Against Discrimination,Legal Points (+50),Criminalization of Violence,Hate Violence Points (+50),Adoption Recognition,Adoption Points(+50),Poll Ranking,Poll Points (+100),Illegal Relationships,Illegal Points (-100),Propaganda/Morality Laws,Morality Points (-50),Trans Legal Identity Laws,"Category
1 = Change w/o surgery (26 to 50 pts) (with hormones only = 30 pts)
2 = Change with surgery (1 to 25 pts)
3 = no rights (0 pts)
4 = illegal (-30 to -50 pts)","Trans Points
(+50 to -50)",Trans Murders per million from 2008 to 2022,"Score 
(worst is -100)
(best is 0)",LGBTQ TRAVEL SAFETY INDEX,Grade
1,Canada,North America,North America,Legal,2005,46,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,Hate Crimes,50,Joint & Second Parent Adoption,50,90,90,,,,,"Canadian laws not only extend to citizens but also to immigrants within legal rights to apply for identity documentation. Citizens and permanent residents are included and provided for, but temporary residents have to follow the laws of the country of their citizenship (although some precedent exists in Canadian law to override this in certain circumstances, as sometimes applies to those seeking asylum). 

No territories require surgery, only a few include unbridled access for minors, and few allow it for those not born in the territory. Some have broader access than others, but mostly laws are quite inclusive.

Differences in Gender Markers (photo IDs and DLs) versus legal identity docs like BC and Passport exist, with changes easier to the former.",,50,0.24,-2.61,383,A
2,Sweden,Northern Europe,Europe,Legal,2009,42,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,Hate Crimes,50,Joint & Second Parent Adoption,50,88,88,,,,,"Since 1972, gender marker changes have been possible with meeting certain criteria. However, bills are in progress to remove criteria requirements and broaden access to ID changes. 

In March 2017, the Löfven Government announced it would compensate an estimated 800 transgender people who were forced to undergo sex reassignment surgery and be sterilized so as to have their sex legally reassigned.[29] In late March 2018, the Swedish Parliament approved the move. The compensation amount is 225,000 SEK (some 21,000 euros/27,000 U.S. dollars) per person.[30]

Also, a third gender marker for ID docs is under consideration.",,50,0.29,-3.19,377,A
3,Netherlands,Northern Europe,Europe,Legal,2001,50,Protection for Sexual Orientation and Gender Identity,50,Broad Protections (constitution approved February 2023),50,Incitement to Hatred/Violence,35,Joint & Second Parent Adoption,50,91,91,,,,,"No surgery required, gender change on docs possible since 2014. Starting 2025, will abolish gender markers on official identity documents ",,50,0.23,-2.52,373,A
4,Malta,Southern Europe,Europe,Legal,2017,35,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,Hate Crimes,50,Joint & Second Parent Adoption,50,85,85,,,,,"Applicants just need to file an affidavit with a notary to change their documentation to the recognized identity. Sterilization and invasive surgery on intersex individuals is also outlawed, with prison sentences for those who violate. 16 y/o and older may apply without parent consent.",,50,0,0,370,A
5,Norway,Northern Europe,Europe,Legal,2009,42,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,91,91,,,,,"July 2016, the government passed a bill to allow legal gender changes without any form of psychiatric or psychological evaluation, diagnosis, or any kind of medical intervention, by people aged at least 16. Minors aged between 6 and 16 may transition with parental consent.[24][25][26]",,50,0,0,358,A
6,Portugal,Southern Europe,Europe,Legal,2010,41,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,Hate Crimes,50,Joint & Second Parent Adoption,50,69,69,,,,,"Adults may change legal ID with no requirements, age 18+. Minors age 16-17 may do so with psych opinion and parental consent.

Schools are actively regulated to accomommodate a person's identity change, and includes training to handle bullying and trans discrimination.",,50,0.2,-2.13,358,A
7,Spain ,Southern Europe,Europe,Legal,2005,46,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,88,88,,,,,Can register under gender identity without sex reassignment surgery. Ability to change gender extends to minors. NOn-Binary is also a legal option alongside male and female.,,50,0.3,-3.24,356,A
8,Denmark,Northern Europe,Europe,Legal,2012,39,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,83,83,,,,,"Legal change without Dx and without surgery and sterilization, but must be 18 y/o and undergo a 6-month ""reflection period."" Denmark also removed transgender identity from their national list of mental illnesses.",,50,0,0,347,A-
9,Belgium,Northern Europe,Europe,Legal,2003,48,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,70,70,,,,,"In order to change legal sex, an adult person has to file an application with a statement that their legal sex is not corresponding with their gender identity. No surgery or other medical or psychological treatment or opinion is required. After filing an application, the applying person will be informed about the legal consequences of a requested change. The applicant has to renew their intent to have their legal sex changed within three months of application and to declare that they are aware of the legal consequences of a change. Minors between 12 and 16 have the possibility to change their first name, but not sex. Minors aged 16 and 17 have the possibility to apply for a sex change with parental consent and a psychological opinion confirming that their decision has been taken freely and without any outside pressure.[32][33][34][35]",,50,0,0,343,A-
10,United Kingdom,Northern Europe,Europe,Legal,2005,46,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,78,78,,,,,"Gender Recognition Act (2004) does not require surgery, but does require official Gender Dysphoria Dx, approval from an official medical and legal panel (often noted as invasive by critics of the law) and spousal consent where applicable, though a provisional certificate can be obtained and used to annul a marriage with a non-consenting spouse, which includes the same rights as a normal divorce. Applicant may obtain an official Gender Recognition Certificate and a birth certificate showing their recognized legal sex. Exceptions to being treated as legally recognized gender include certain sports, employment, matters of inheritance claim, and civil partnerships (a civil partnership must be dissolved or marriage must occur).",,45,0.18,-1.96,342,A-
11,France,Western Europe,Europe,Legal,2013,38,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,77,77,,,,,"In 2010 France removed gender identity as a mental health diagnosis. Trans rights are protected, and treatments are funded by French social security. No medical or psychiatric diagnosis or treatment are required to legally change identity, but the bill passed in 2017 does still require applicants to appear before a court. In 2017, transphobia also became a legally recognized aggravant for crime, pubishable by prison time.",,50,0.21,-2.28,338,A-
12,Iceland,Northern Europe,Europe,Legal,2010,41,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Incitement to Hatred/Violence,25,Joint & Second Parent Adoption,50,89,89,,,,,"Created a Department for Dx of gender dysphoria and performing reassignment surgery. The new 2019 law allows transgender individuals to change their legal gender without having to receive a medical and mental disorder diagnosis, or undergo sterilization and sex reassignment surgery. Minors may also change their legal gender with parental consent. Furthermore, the law allows individuals to choose a third gender option known as ""X"" on official documents.[28][29][30]",,50,0,0,330,A-
13,Switzerland,Central Europe,Europe,Legal,2022,28,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,Incitement to Hatred/Violence,25,Joint & Second Parent Adoption,50,76,76,,,,,"No surgery required, legal age for change without parent permission lowered to 16",,50,0.12,-1.33,328,A-
14,Ireland,Northern Europe,Europe,Legal ,2015,37,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Incitement to Hatred/Violence,25,Joint & Second Parent Adoption,50,83,83,,,,,Gender Recog. Act 2015 allows those over 18 to apply for legal document change without medical intervention or assessment. Those 16 to 18 y/o must have a court order.,,50,0,0,320,A-
15,Luxembourg,Western Europe,Europe,Legal,2015,37,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Incitement,25,Joint & Second Parent Adoption,50,83,83,,,,,"As of 2018:  An adult person would need to submit an application to the Ministry of Justice to change their legal sex. No surgery, sterilization, divorce or other medical treatment would be required. Minors would be able to apply for a sex change with the consent of their legal guardians.[12][13][14] On 31 May, the bill was submitted to the Parliament,[15] and was approved in a 57–3 vote on 25 July 2018.[16][17][18]",,50,0,0,320,A-
16,South Africa,South Africa,Africa,Legal,2006,45,Protection for Sexual Orientation and Gender Identity,50,Constitutional Protections,50,Incitement to Hatred/Violence,25,Joint & Second Parent Adoption,50,69,69,,,,,"Can apply to change with medical OR surgical change (hormone therapy, for example, is permissible)",,30,0.19,-2.05,317,A-
17,Germany,Western Europe,Europe,Legal,2017,35,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Incitement,25,Joint & Second Parent Adoption,50,74,74,,,,,"Since 2011, individuals can change their gender without sterilization and surgery. Court appearance still required, and certain spousal veto and waiting period requirements apply",,50,0.04,-0.39,309,A-
18,Chile,South America,South America,Legal,2022,28,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,68,68,,,,,"2019 most recent:
ID docs may be chanegd without any change to appearance. 

School protections.

Since 2013, sex reassignment surgeries and hormone therapy are funded by the public health system (Fondo Nacional de Salud).[113]",,50,1.27,-13.81,307,A-
19,Uruguay,South America,South America,Legal,2013,38,Protection for Sexual Orientation and Gender Identity,50,Broad Protections,25,Hate Crimes,50,Joint & Second Parent Adoption,50,86,86,,,,,"No medical or diagnosis requirements to apply for a legal change in gender on documents. Minimum age 18. ID documents allow for male, female, other, and blank listings for gender.",,50,4.04,-44.12,305,A-
