WPS Index rank,Country,WPS Index score,Education (years) ,Financial inclusion (%),Employment (%),Cell phone use (%) ^m,Parliamentary representation (%),Absensce of legal discrimination (aggregate score),Sex ratio at birth (male to female ratio),Discriminatry norms (%),Intimate partner violence (%),Perception of community safety (%) ^m,"Organized violence (battle deaths per 100,000 people)"
1,Norway,0.922,13,100,58.9,99,45.6,96.9,1.06,0,4,89.5,0
2,Finland,0.909,12.9,99.6,52.7,100,46,97.5,1.05,1,8,80.9,0
3,Iceland,0.907,12.6,92.4,64.2,99.6,39.7,100,1.05,0,3,72.6,0
4,Denmark,0.903,13.1,100,54,100,39.7,100,1.06,2,3,79.1,0
5,Luxembourg,0.899,12,98.2,54.9,99.4,31.7,100,1.05,2,4,85.6,0
6,Switzerland,0.898,12.7,98.9,58.8,93.6,39,85.6,1.05,2,2,81.9,0
7,Sweden,0.895,12.7,100,57.3,98.5,47,100,1.06,1,6,68.9,0
8,Austria,0.891,12.2,98.4,51.7,97.5,40.6,96.9,1.06,7,4,84.9,0
9,United Kingdom,0.888,13.2,96.1,56.3,94.2,30.6,97.5,1.05,2,4,77.3,0
10,Netherlands,0.885,12.1,99.8,54.8,94.9,35.1,97.5,1.05,2,5,73.7,0
11,Germany,0.88,13.9,99.2,53.7,95.3,31.9,97.5,1.06,3,3,72.4,0
12,Canada,0.879,13.4,99.9,53.5,90.6,33.9,100,1.06,0,3,68.8,0
13,New Zealand,0.873,12.7,99.3,62.7,90.6,48.3,97.5,1.06,3,4,50.3,0
14,Spain,0.872,10,91.6,44.3,98.9,42.6,97.5,1.06,1,3,75.1,0
15,France,0.87,11.2,91.3,48.3,92.2,37.7,100,1.05,2,5,70.5,0
15,Singapore,0.87,11.3,96.3,61.3,96.8,29.5,82.5,1.07,2,2,96.9,0
15,Slovenia,0.87,12.7,96.9,51.9,98.8,21.5,96.9,1.06,4,3,84.9,0
18,Portugal,0.868,9.2,90.6,52.1,96.8,40,100,1.06,4,4,77.7,0
19,Ireland,0.867,12.9,95.3,54.1,97.7,27.3,100,1.06,3,3,69.9,0
20,Estonia,0.863,13.6,98.4,54.6,100,27.7,97.5,1.07,2,4,71,0
21,United States,0.861,13.5,92.7,52,94,26.8,91.3,1.05,1,6,70.6,0
