,World Happiness Rank,Country,World Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Women's Peace & Prosperity Rank,Women's Peace & Prosperity Score,LGBTQ Rights Rank,LGBTQ Country,LGBTQ Rights Score,LGBTQ Rights Grade,Climate zone,Total GDP in mil USD,Agricultural percent,Industrial percent,Service percent,Agricultural in mil USD,Industrial  in mil USD,Service in mil USD,Main Sector,LGBTQ_norm,WPS_norm,Freedom_norm,GDP_norm,WH_norm,Climate description,Climate type,Women's Peace and Prosperity Grade,Happiness Grade
0,1,Finland,7.769,1.34,1.587,0.986,0.596,0.153,0.393,2.0,0.909,22.0,Finland,11.0,A,DFC,"244,900",0.027000000000000003,0.282,0.691,"6,612","69,062","169,226",Service,1.0,0.9798136645962733,0.9445324881141045,0.7957244655581949,1.0,"Subartic, severe winter, no dry season, cool summer",Cold,A,A
1,2,Denmark,7.6,1.383,1.573,0.996,0.592,0.252,0.41,4.0,0.903,8.0,Denmark,11.0,A,CFB,"287,800",0.013000000000000001,0.22899999999999998,0.758,"3,741","65,906","218,152",Service,1.0,0.9704968944099379,0.9381933438985737,0.8212589073634204,0.9656224572823433,,,A,A
2,3,Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,1.0,0.922,5.0,Norway,10.0,A,DFC,"381,200",0.023,0.337,0.64,"8,768","128,464","243,968",Service,0.9,1.0,0.9556259904912836,0.8836104513064134,0.9562652563059398,"Subartic, severe winter, no dry season, cool summer",Cold,A,A
3,4,Iceland,7.494,1.38,1.624,1.026,0.591,0.354,0.118,3.0,0.907,12.0,Iceland,11.0,A,ET,"18,180",0.057999999999999996,0.19699999999999998,0.746,"1,054","3,581","13,562",Service,1.0,0.9767080745341614,0.9366085578446909,0.8194774346793349,0.944060211554109,Tundra,Cold,A,A
4,5,Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,10.0,0.885,3.0,Netherlands,10.0,A,CFB,"924,400",0.016,0.179,0.7020000000000001,"14,790","165,468","648,929",Service,0.9,0.9425465838509316,0.8827258320126784,0.828978622327791,0.9428397070789258,,,A,A
5,6,Switzerland,7.48,1.452,1.526,1.052,0.572,0.263,0.343,6.0,0.898,13.0,Switzerland,11.0,A,DFC,"523,100",0.006999999999999999,0.256,0.737,"3,662","133,914","385,525",Service,1.0,0.9627329192546583,0.9064976228209191,0.8622327790973872,0.9412123677786819,"Subartic, severe winter, no dry season, cool summer",Cold,A,A
6,7,Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,7.0,0.895,2.0,Sweden,10.0,A,DFB,"518,000",0.016,0.33,0.654,"8,288","170,940","338,772",Service,0.9,0.9580745341614907,0.9096671949286845,0.8236342042755345,0.9133441822620016,"Humid continental, no dry season, warm summer",Cold,A,A
7,8,New Zealand,7.307,1.303,1.557,1.026,0.585,0.33,0.38,13.0,0.873,24.0,New Zealand,11.0,A,CFB,"189,000",0.057,0.215,0.728,"10,773","40,635","137,592",Service,1.0,0.9239130434782608,0.9270998415213946,0.7737529691211401,0.9060211554109032,,,A,A
8,9,Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,12.0,0.879,1.0,Canada,10.0,A,DFC,"1,774,000",0.016,0.282,0.7020000000000001,"28,384","500,268","1,245,348",Service,0.9,0.9332298136645962,0.9255150554675118,0.8105700712589073,0.900122050447518,"Subartic, severe winter, no dry season, cool summer",Cold,A,A
9,10,Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,8.0,0.891,20.0,Austria,11.0,A,DFB,"441,000",0.013000000000000001,0.284,0.703,"5,733","125,244","310,023",Service,1.0,0.9518633540372671,0.8431061806656102,0.8171021377672208,0.893612693246542,"Humid continental, no dry season, warm summer",Cold,A,B
