Country,Tropical
Algeria,Partial
Angola,Full
Antigua And Barbuda,Full
Argentina,Partial
Aruba,Full
Australia,Partial
Bahamas,Partial
Bangladesh,Partial
Barbados,Full
Belize,Full
Benin,Full
Bolivia,Partial
Botswana,Partial
Brazil,Partial
British Virgin Islands,Full
Burkina Faso,Full
Burundi,Full
Cambodia,Full
Cameroon,Full
Cape Verde,Full
Central African Republic,Full
Chad,Full
Chile,Partial
China,Partial
Colombia,Full
Comoros,Full
Costa Rica,Full
Cuba,Full
Djibouti,Full
Dominica,Full
Dominican Republic,Full
Dr Congo,Full
Ecuador,Full
Egypt,Partial
El Salvador,Full
Equatorial Guinea,Full
Eritrea,Full
Ethiopia,Full
Fiji,Full
French Guiana,Full
Gabon,Full
Gambia,Full
Ghana,Full
Grenada,Full
Guadeloupe,Full
Guatemala,Full
Guinea,Full
Guinea Bissau,Full
Guyana,Full
Haiti,Full
Honduras,Full
India,Partial
Indonesia,Full
Ivory Coast,Full
Jamaica,Full
Kenya,Full
Kiribati,Full
Laos,Full
Liberia,Full
Libya,Partial
Madagascar,Partial
Malawi,Full
Malaysia,Full
Maldives,Full
Mali,Full
Marshall Islands,Full
Martinique,Full
Mauritania,Full
Mauritius,Full
Mexico,Partial
Micronesia,Full
Mozambique,Partial
Myanmar,Partial
Namibia,Partial
Nauru,Full
Nicaragua,Full
Niger,Full
Nigeria,Full
Oman,Partial
Palau,Full
Panama,Full
Papua New Guinea,Full
Paraguay,Partial
Peru,Full
Philippines,Full
Republic Of The Congo,Full
Rwanda,Full
Saint Kitts And Nevis,Full
Saint Lucia,Full
Saint Vincent And The Grenadines,Full
Samoa,Full
Sao Tome And Principe,Full
Saudi Arabia,Partial
Senegal,Full
Seychelles,Full
Sierra Leone,Full
Singapore,Full
Solomon Islands,Full
Somalia,Full
South Africa,Partial
South Sudan,Full
Sri Lanka,Full
Sudan,Full
Suriname,Full
Taiwan,Partial
Tanzania,Full
Thailand,Full
Togo,Full
Tonga,Full
Trinidad And Tobago,Full
Tuvalu,Full
Uganda,Full
United Arab Emirates,Partial
United States,Partial
United States Virgin Islands,Full
Vanuatu,Full
Venezuela,Full
Vietnam,Full
Western Sahara,Partial
Yemen,Full
Zambia,Full
Zimbabwe,Partial
